ID Year,Year,ID State,State,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Slug State
2016,"2016","04000US33","New Hampshire","true","true","254021","Librarians",32375.771470160118,15761.169589521696,"new-hampshire"
2016,"2016","04000US34","New Jersey","true","true","254021","Librarians",55441.16203259827,10344.071818347044,"new-jersey"
2016,"2016","04000US35","New Mexico","true","true","254021","Librarians",40243.09982486865,17329.251873091067,"new-mexico"
2016,"2016","04000US36","New York","true","true","254021","Librarians",51918.50105394644,6804.022379354451,"new-york"
2016,"2016","04000US37","North Carolina","true","true","254021","Librarians",43041.34377358491,9590.839643191332,"north-carolina"
2016,"2016","04000US38","North Dakota","true","true","254021","Librarians",40835.501066098084,24812.582649902743,"north-dakota"
2016,"2016","04000US39","Ohio","true","true","254021","Librarians",36093.997476089266,6763.713686766687,"ohio"
2016,"2016","04000US40","Oklahoma","true","true","254021","Librarians",36413.2330749354,13315.689445674263,"oklahoma"
2016,"2016","04000US41","Oregon","true","true","254021","Librarians",39177.76622825626,12476.644375867436,"oregon"
2016,"2016","04000US42","Pennsylvania","true","true","254021","Librarians",41756.97003687769,9523.674331584874,"pennsylvania"
2016,"2016","04000US44","Rhode Island","true","true","254021","Librarians",45192.165507649515,24154.868586258235,"rhode-island"
2016,"2016","04000US45","South Carolina","true","true","254021","Librarians",36425.121530128636,8934.629136877062,"south-carolina"
2016,"2016","04000US46","South Dakota","true","true","254021","Librarians",25363.646946564884,16981.977588187452,"south-dakota"
2016,"2016","04000US47","Tennessee","true","true","254021","Librarians",40447.2011002445,12813.158865221427,"tennessee"
2016,"2016","04000US48","Texas","true","true","254021","Librarians",43711.39138879896,5876.261457788352,"texas"
2016,"2016","04000US49","Utah","true","true","254021","Librarians",33377.15359116022,15558.2973675842,"utah"
2016,"2016","04000US50","Vermont","true","true","254021","Librarians",34106.32784810127,17626.803713680394,"vermont"
2016,"2016","04000US51","Virginia","true","true","254021","Librarians",50872.90381125227,7903.41494237159,"virginia"
2016,"2016","04000US53","Washington","true","true","254021","Librarians",43948.551578354,11541.057827677703,"washington"
2016,"2016","04000US54","West Virginia","true","true","254021","Librarians",29906.069124423964,36061.21588520595,"west-virginia"
2016,"2016","04000US55","Wisconsin","true","true","254021","Librarians",36325.74077328647,9569.32204390062,"wisconsin"
2016,"2016","04000US56","Wyoming","true","true","254021","Librarians",32521.04048582996,18846.461410790736,"wyoming"
2016,"2016","04000US72","Puerto Rico","true","true","254021","Librarians",25770.82915567282,8516.961054503516,"puerto-rico"
